"code","energy_kcal_100g","sugars_100g","fat_100g","salt_100g","proteins_100g","nutriscore_grade","nutriscore_score","nova_group"
"4820132581460","411","24","13.1999998092651",,"8.5","unknown",,
"0032894035073","107.692307692308","0.769230769230769","3.84615384615385","0.846153846153846","7.69230769230769","a","-1","3"
"6907592000026","175.19",,"12","8.75","10","unknown",,
"8480000213303","46","5.1","0.1",,"3.8","a",,"4"
"3336971805038","452","3.8","19","1.1","13","c","8","4"
"7591002000547","350","2.1","1.8",,"7.3","a","-1",
"5449000123268",,,,"0.000762",,"a",,
"7090046315292","352","66","3.5","0.02","2.3","unknown",,"4"
"4056489978923","67","5.1","0.3","0.1375","10.6","d","7","4"
"8887333010263","86","4.6","1.4","1.9025","13.7","d","11","4"
"11117780","467","36.67","20","0.7075","6.67","e","27","4"
"9352042000281","729","2.4","1","3.3","25.9","d","17","4"
"5019503019056","97.3333333333333","0.1","1.6","0.64","14","a","-3","4"
"9300698500181","550","55","30","0.125","5","e","28","4"
"0078742351865","62.5","4.58333333333333","3.33333333333333","0.125","3.33333333333333","c","3","1"
"4056489695370","40","2.5","1.7","0.4","3","b",,"3"
"8901063367173","525","9.8","26.5","2.6625","7.7","unknown",,
"4820192262750","47","10.9",,"0.02","0.2","e","12",
"5060489730732","2.12121212121212",,,"0.000303030303030303",,"b",,"4"
"8801056083588","50","9.13043","0.3","0.21739","1.3","e","15","4"
"7350035210169","459","2","19","0.0125","8","unknown",,"4"
"20828738","184","0.2","8.3","0.68","11.5","b","1","3"
"5701977062316","666","0.5","75","0.9","0.5","d","17","4"
"7702511000014","338.461538461538",,,"0.0384615384615385","7.69230769230769","b","-4","1"
"7025168001327","255","0.7","3.3","0.83","8.5","a",,"4"
"5202178004964","51","7.4","1.7","0.0975","0.7","b","2",
"7032069713402","119","0.7","2","0.88","6.5","b",,"3"
"9315090206968","34","4.8","0.1","100","3.3","e","18","1"
"6001205733506","392.564118214143","10.5128202682886","5.38461514008351",,"13.8461540906857","unknown",,
"7032069760901","52","3.8","2","0.0875","0.8","unknown",,
"7702047039892","300",,"30","1.86266666666667",,"d","18","4"
"8000380000210","533.333333333333","31.1111111111111","26.6666666666667","0.338666666666667","8.88888888888889","unknown",,
"7897001010014","831",,"92",,,"c","6","2"
"8000350007959","522","32","29","0.72","5.4","e","28","4"
"8410679234514","514","1.1","43","0.06","10","d","16","4"
"5601855121008","821",,"91",,,"b",,"2"
"20993504","497","29.7","26.2","0.2","5.3","e","24",
"7613036092487","191","3.2","8.7","1.3","21","a","-3","4"
