"code","country"
"5010975070095","Australia"
"5011007003005","Australia"
"5011007003227","Australia"
"5011013100118","Australia"
"5011013100156","Australia"
"5011157888101","Australia"
"5011157888132","Australia"
"5011157888224","Australia"
"5011157888316","Australia"
"5011308000307","Australia"
"5011308000314","Australia"
"5011308000994","Australia"
"5011308001922","Australia"
"5011308002400","Australia"
"5011308953009","Australia"
"5011428100048","Australia"
"5011428300035","Australia"
"50147311","Australia"
"5016084504582","Australia"
"5021476000825","Australia"
"5021812000656","Australia"
"5022019010110","Australia"
"5022019010202","Australia"
"5022019090204","Australia"
"5022019560202","Australia"
"5022019590209","Australia"
"5027324001839","Australia"
"5027324001860","Australia"
"5032722306523","Australia"
"5034660522775","Australia"
"5050665005945","Australia"
"5052675000200","Australia"
"5052675000224","Australia"
"5052675000958","Australia"
"5052675000972","Australia"
"5052675000989","Australia"
"5052675030009","Australia"
"5052675040206","Australia"
"5052675060204","Australia"
"5059319023472","Australia"
"5060002043752","Australia"
"5060045388384","Australia"
"5060054134033","Australia"
"5060108450010","Australia"
"5060108450096","Australia"
"5060108450263","Australia"
"5060108450287","Australia"
"5060108450324","Australia"
"5060108450508","Australia"
"5060108450546","Australia"
"5060108450959","Australia"
"5060108450966","Australia"
"5060108451697","Australia"
"5060221201391","Australia"
"5060221203753","Australia"
"5060321390315","Australia"
"5060489730732","Australia"
"5060605060552","Australia"
"5060605060576","Australia"
"5060811380901","Australia"
"5201051001076","Australia"
"5201051002219","Australia"
"5201119000164","Australia"
"5201168215298","Australia"
"5201168215649","Australia"
"5202413007019","Australia"
"5202853502013","Australia"
"5281117002223","Australia"
"5281117003336","Australia"
"5281117011775","Australia"
"5281117012536","Australia"
"5290093000659","Australia"
"5310146002635","Australia"
"5391528181070","Australia"
"5410126006339","Australia"
"5410126006360","Australia"
"5410126116953","Australia"
"5410126146943","Australia"
"5410126146950","Australia"
"5410126716016","Australia"
"5410976080428","Australia"
"5410976140122","Australia"
"5413548040479","Australia"
"5740200001012","Australia"
"5740900400894","Australia"
"5740900401099","Australia"
"5740900403604","Australia"
"5740900404601","Australia"
"5740902895803","Australia"
"5760466738040","Australia"
"5900397734272","Australia"
"6001056662000","Australia"
"6001092500052","Australia"
"6001108028044","Australia"
"6003770000168","Australia"
"6003770000519","Australia"
"6003770000953","Australia"
"6003770008867","Australia"
"6003770009123","Australia"
"6003770009260","Australia"
"6003770009680","Australia"
"6009522301262","Australia"
"6194049100044","Australia"
"6921180820087","Australia"
"6921804700054","Australia"
"6921804700269","Australia"
"6921804700788","Australia"
"6921804720410","Australia"
"7290000572109","Australia"
"7312040017034","Australia"
"7312040017683","Australia"
"7312930002201","Australia"
"75032715","Australia"
"7610062000073","Australia"
"7610400013840","Australia"
"7610400013857","Australia"
"7610400013864","Australia"
"7610400014632","Australia"
"7610400014649","Australia"
"7610400070577","Australia"
"7613035419056","Australia"
"7614500010013","Australia"
"7614500035788","Australia"
"76145513","Australia"
"7622200007332","Australia"
"7622210106421","Australia"
"7622300617820","Australia"
"7622300743536","Australia"
"7622300992798","Australia"
"7630486400884","Australia"
"8000070025066","Australia"
"8000070053472","Australia"
"8000070053526","Australia"
"8000070053564","Australia"
"8000070053625","Australia"
"8000300389067","Australia"
"8000350000462","Australia"
"8000380005598","Australia"
"8000380007264","Australia"
"8000500023624","Australia"
"8000500026731","Australia"
"8000500032237","Australia"
"8000500157985","Australia"
"8000500328750","Australia"
"8001060003316","Australia"
"8001060375109","Australia"
"8001585001040","Australia"
"8001585001224","Australia"
"8001585001330","Australia"
"8001876020019","Australia"
"8002590055417","Australia"
"8002710402008","Australia"
"8003753918198","Australia"
"80042563","Australia"
"8004690311547","Australia"
"8004690950111","Australia"
"8004690950128","Australia"
"80050094","Australia"
"80050278","Australia"
"8005110000454","Australia"
"8005110002083","Australia"
"8005110060007","Australia"
"8005110060083","Australia"
"8005110080005","Australia"
"8005110170423","Australia"
"8005110170461","Australia"
"8005110171710","Australia"
"8005110172106","Australia"
"8005110413520","Australia"
"8005110413544","Australia"
"8005110550508","Australia"
"8005110630408","Australia"
"8005121000085","Australia"
"8005121000146","Australia"
"8005121000177","Australia"
"8005121000405","Australia"
"8005121000740","Australia"
"80052760","Australia"
"8005510008852","Australia"
"8006050099294","Australia"
"80067955","Australia"
"80067986","Australia"
"8007900000255","Australia"
"80177609","Australia"
"8076800195033","Australia"
"8076800195057","Australia"
"8076800315264","Australia"
"8076802085738","Australia"
"8076802085899","Australia"
"8076802085981","Australia"
"8076808060654","Australia"
"8076808150072","Australia"
"8076809513388","Australia"
"8076809513456","Australia"
"8076809513654","Australia"
"8076809513692","Australia"
"8076809513739","Australia"
"8076809513753","Australia"
"8076809519977","Australia"
"8076809521543","Australia"
"8076809545396","Australia"
"8410036009090","Australia"
"8410076421777","Australia"
"8410076601636","Australia"
"8410076601643","Australia"
"8410076801104","Australia"
"8410113004406","Australia"
"8411037800037","Australia"
"8411037892308","Australia"
"84196842","Australia"
"8435185944009","Australia"
"8690504011408","Australia"
"8711000302118","Australia"
"8711000684733","Australia"
"8712000900663","Australia"
"8714100536186","Australia"
"8714100658499","Australia"
"8714100897935","Australia"
"8718692615779","Australia"
"8718692616066","Australia"
"8718692616301","Australia"
"8719128117232","Australia"
"8722700479475","Australia"
"8724200100118","Australia"
"8801043054768","Australia"
"8801043061674","Australia"
"8801045999906","Australia"
"8801045999913","Australia"
"8801073115514","Australia"
"8801073140578","Australia"
"8801073141896","Australia"
"8801073142312","Australia"
"8801073211056","Australia"
"8801073411388","Australia"
"8809063751216","Australia"
"8850038400073","Australia"
"8850124025685","Australia"
"8850206011025","Australia"
"8850389100684","Australia"
"8850389100769","Australia"
"8850389101391","Australia"
"8850389105450","Australia"
"8850389105467","Australia"
"8850389106280","Australia"
"8850999112107","Australia"
"8852023664248","Australia"
"8852756327694","Australia"
